SKU,SAP PRODUCT DESC EN,SAP PRODUCT DESC FR,SKU STATUS,CATEGORY,SUB CATEGORY,CLASS,BRAND,DEVICE OEM,DEVICE,COLOUR,VENDOR,PART NUMBER,UPC,CURRENCY,ORIGINAL MSRP,CURRENT MSRP
N23104,HEADSET BLUETOOTH MOTOROLA H790 SILVER,ECOUTEUR BLUETOOTH MOTOROLA H790 ARGENT,ND,04 - Audio,Mono Bluetooth,Headset,Motorola,Universal,Universal,Silver,MOTOROLA,23104,7.23755E+11,CAD,$45.00,$45.00
N23139,MOTOROLA H730 BLUETOOTH HEADSET,ECOUTEUR BLUETOOTH MOTOROLA H730,ND,04 - Audio,Mono Bluetooth,Headset,Motorola,Universal,Universal,,MOTOROLA,N23139,7.23755E+11,CAD,$49.99,$49.99
N801209,WILSON WIRELESS BOOSTER,WILSON WIRELESS BOOSTER,ND,05 - Connected Home,Home,WiFi,Wilson,Universal,Universal,,WILSON ELECTRONICS INC,0,,USD,$389.99,$389.99
NADA1027,BELKIN WEMO SWITCH,BELKIN WEMO SWITCH,ND,05 - Connected Home,Home,Switch,Belkin,Universal,Universal,,SALMON CAPITAL CORPORATION,F7C027FC,7.22869E+11,CAD,$49.99,$49.99
NADA1028,SONIM USB TO 3 5MM ADAPTER XP5560,SONIM ADAPTATEUR USB VERS 3 5MM XP5560,ND,03 - Charging,Other,Specialty,Sonim,Sonim,Sonim,,SONIM TECHNOLOGIES INC,94922172808,94922172808,CAD,$14.99,$14.99
NADA1029,ISTORE™ WORLD TRAVEL ADAPTER - WHITE,ISTORE WORLD TRAVEL ADAPTER,ND,03 - Charging,Wall Adapter,USB-A,iStore,Universal,Universal,White,TARGUS CANADA LTD.,APK0102CAI,92636284695,CAD,$24.99,$14.99
NAISCOPE,IPHONE VISUAL CHECKER,IPHONE VISUAL CHECKER,ND,08 - TELUS Non-Accessories,Other,Other,Unsure or N/A,Apple,iPhone,,N/A,0,-,0,$0.00,$0.00
NANTZTEMF288BK,ZTE MF288 HUB REPLACEMENT ANTENNA,ZTE MF288 HUB REPLACEMENT ANTENNA,ZD,08 - TELUS Non-Accessories,Other,Antenna,ZTE,ZTE,Hub,,ZTE,80500100202,6.29E+11,CAD,,
NAT3058,DESKTOP BASE CONTROLLER OEM F/I365,ADVANCETEC COMMUNICATOR P/I365,ND,08 - TELUS Non-Accessories,Other,Other,Motorola,Universal,Universal,N/A,ADVANCETEC INDUSTRIES INC,AT3058,6.29018E+11,USD,$499.99,$499.99
NAT3059A,ADVANCETEC I365 DESKTOP CONTROLLER LOCK,PAQUET DE CONTRÔLEUR BASÉ DE BUREAU I365,ND,08 - TELUS Non-Accessories,Other,Other,AdvanceTec,Universal,Universal,N/A,ADVANCETEC INDUSTRIES INC,AT3059A,,USD,$479.99,$479.99
NAT7107,ADVANCE TEC CAR KIT PRIVACY HANDSET,ADVANCE TEC VOITURE TÉLÉPHONE D'INTIMITÉ,ND,08 - TELUS Non-Accessories,Other,Other,AdvanceTec,Universal,Universal,N/A,ADVANCETEC INDUSTRIES INC,AT7107,6.29018E+11,USD,$119.99,$119.99
NAT8400,FOOT PEDAL F/I365 DESKTOP BASE CONTROLLE,ECOUTEUR P/ADVANCETEC COMMUNICATOR I365,ND,08 - TELUS Non-Accessories,Other,Other,AdvanceTec,Universal,Universal,N/A,ADVANCETEC INDUSTRIES INC,AT8400,6.29018E+11,USD,$139.99,$139.99
